x-axis,1,2,3
second,Volt,Volt,Volt
-43.50000E-03,-9.96231E-03,+84.92462504E+00,+3.51758797E+00
-43.45000E-03,-9.45979E-03,+86.43216276E+00,+2.91457289E+00
-43.40000E-03,-11.46984E-03,+84.92462504E+00,+3.21608043E+00
-43.35000E-03,-13.98241E-03,+86.43216276E+00,+3.01507540E+00
-43.30000E-03,-10.96733E-03,+84.92462504E+00,+3.81909551E+00
-43.25000E-03,-10.46482E-03,+84.42211246E+00,+3.21608043E+00
-43.20000E-03,-9.96231E-03,+86.43216276E+00,+3.81909551E+00
-43.15000E-03,-11.46984E-03,+86.43216276E+00,+3.91959802E+00
-43.10000E-03,-10.96733E-03,+85.92965019E+00,+3.41708545E+00
-43.05000E-03,-13.47990E-03,+85.42713761E+00,+3.61809048E+00
-43.00000E-03,-9.45979E-03,+84.92462504E+00,+3.71859299E+00
-42.95000E-03,-11.97236E-03,+84.92462504E+00,+3.71859299E+00
-42.90000E-03,-9.45979E-03,+85.92965019E+00,+3.71859299E+00
-42.85000E-03,-10.46482E-03,+84.92462504E+00,+4.02010053E+00
-42.80000E-03,-10.46482E-03,+84.92462504E+00,+3.61809048E+00
-42.75000E-03,-11.97236E-03,+84.92462504E+00,+4.02010053E+00
-42.70000E-03,-9.96231E-03,+84.92462504E+00,+3.71859299E+00
-42.65000E-03,-12.47487E-03,+86.43216276E+00,+3.71859299E+00
-42.60000E-03,-12.97738E-03,+85.92965019E+00,+3.61809048E+00
-42.55000E-03,-11.97236E-03,+84.42211246E+00,+3.71859299E+00
-42.50000E-03,-9.96231E-03,+85.42713761E+00,+3.71859299E+00
-42.45000E-03,-13.47990E-03,+86.43216276E+00,+4.02010053E+00
-42.40000E-03,-11.46984E-03,+84.42211246E+00,+3.71859299E+00
-42.35000E-03,-10.46482E-03,+84.92462504E+00,+3.91959802E+00
-42.30000E-03,-11.97236E-03,+86.43216276E+00,+4.42211059E+00
-42.25000E-03,-11.97236E-03,+84.92462504E+00,+4.02010053E+00
-42.20000E-03,-11.46984E-03,+85.92965019E+00,+4.22110556E+00
-42.15000E-03,-14.48492E-03,+84.92462504E+00,+4.02010053E+00
-42.10000E-03,-9.96231E-03,+84.92462504E+00,+4.32160807E+00
-42.05000E-03,-13.47990E-03,+84.42211246E+00,+4.12060305E+00
-42.00000E-03,-13.47990E-03,+86.43216276E+00,+4.62311561E+00
-41.95000E-03,-11.46984E-03,+84.42211246E+00,+4.52261310E+00
-41.90000E-03,-9.96231E-03,+84.92462504E+00,+4.72361813E+00
-41.85000E-03,-10.46482E-03,+84.92462504E+00,+4.82412064E+00
-41.80000E-03,-10.46482E-03,+85.92965019E+00,+4.72361813E+00
-41.75000E-03,-9.96231E-03,+84.92462504E+00,+5.02512567E+00
-41.70000E-03,-9.96231E-03,+84.42211246E+00,+4.82412064E+00
-41.65000E-03,-10.96733E-03,+85.92965019E+00,+4.82412064E+00
-41.60000E-03,-12.97738E-03,+86.43216276E+00,+4.82412064E+00
-41.55000E-03,-10.46482E-03,+84.92462504E+00,+5.22613069E+00
-41.50000E-03,-11.46984E-03,+84.92462504E+00,+5.12562818E+00
-41.45000E-03,-11.97236E-03,+86.43216276E+00,+4.92462315E+00
-41.40000E-03,-9.45979E-03,+86.43216276E+00,+5.22613069E+00
-41.35000E-03,-11.46984E-03,+86.43216276E+00,+5.12562818E+00
-41.30000E-03,-11.97236E-03,+85.92965019E+00,+5.12562818E+00
-41.25000E-03,-10.46482E-03,+84.92462504E+00,+4.92462315E+00
-41.20000E-03,-11.97236E-03,+85.42713761E+00,+5.42713572E+00
-41.15000E-03,-11.97236E-03,+86.43216276E+00,+5.22613069E+00
-41.10000E-03,-12.97738E-03,+86.43216276E+00,+5.22613069E+00
-41.05000E-03,-11.97236E-03,+85.92965019E+00,+5.12562818E+00
-41.00000E-03,-12.47487E-03,+86.43216276E+00,+5.52763823E+00
-40.95000E-03,-11.97236E-03,+86.43216276E+00,+5.22613069E+00
-40.90000E-03,-11.97236E-03,+85.92965019E+00,+5.62814075E+00
-40.85000E-03,-9.96231E-03,+84.92462504E+00,+5.62814075E+00
-40.80000E-03,-12.47487E-03,+84.92462504E+00,+5.32663321E+00
-40.75000E-03,-11.46984E-03,+85.92965019E+00,+5.72864326E+00
-40.70000E-03,-14.48492E-03,+86.43216276E+00,+5.62814075E+00
-40.65000E-03,-11.46984E-03,+86.43216276E+00,+5.52763823E+00
-40.60000E-03,-13.98241E-03,+87.93970048E+00,+5.22613069E+00
-40.55000E-03,-9.96231E-03,+87.93970048E+00,+5.62814075E+00
-40.50000E-03,-10.96733E-03,+85.92965019E+00,+5.22613069E+00
-40.45000E-03,-11.97236E-03,+86.43216276E+00,+6.33165834E+00
-40.40000E-03,-12.47487E-03,+84.42211246E+00,+5.62814075E+00
-40.35000E-03,-11.97236E-03,+86.43216276E+00,+5.92964829E+00
-40.30000E-03,-10.96733E-03,+86.43216276E+00,+5.62814075E+00
-40.25000E-03,-10.96733E-03,+84.92462504E+00,+6.13065331E+00
-40.20000E-03,-9.96231E-03,+84.42211246E+00,+5.72864326E+00
-40.15000E-03,-11.46984E-03,+84.92462504E+00,+6.33165834E+00
-40.10000E-03,-10.96733E-03,+84.42211246E+00,+6.33165834E+00
-40.05000E-03,-10.46482E-03,+85.92965019E+00,+6.23115583E+00
-40.00000E-03,-8.95728E-03,+86.43216276E+00,+5.92964829E+00
-39.95000E-03,-12.47487E-03,+84.92462504E+00,+5.72864326E+00
-39.90000E-03,-10.96733E-03,+86.43216276E+00,+6.03015080E+00
-39.85000E-03,-10.46482E-03,+86.43216276E+00,+6.03015080E+00
-39.80000E-03,-12.97738E-03,+84.92462504E+00,+6.13065331E+00
-39.75000E-03,-11.46984E-03,+86.43216276E+00,+6.43216085E+00
-39.70000E-03,-12.47487E-03,+84.92462504E+00,+5.92964829E+00
-39.65000E-03,-11.46984E-03,+84.42211246E+00,+6.13065331E+00
-39.60000E-03,-11.46984E-03,+84.92462504E+00,+6.13065331E+00
-39.55000E-03,-11.46984E-03,+84.92462504E+00,+6.23115583E+00
-39.50000E-03,-10.46482E-03,+84.92462504E+00,+6.13065331E+00
-39.45000E-03,-10.46482E-03,+86.43216276E+00,+6.43216085E+00
-39.40000E-03,-11.46984E-03,+86.43216276E+00,+6.73366839E+00
-39.35000E-03,-13.47990E-03,+86.43216276E+00,+6.63316588E+00
-39.30000E-03,-12.47487E-03,+86.93467534E+00,+6.43216085E+00
-39.25000E-03,-10.46482E-03,+86.43216276E+00,+6.83417091E+00
-39.20000E-03,-13.47990E-03,+86.43216276E+00,+6.53266337E+00
-39.15000E-03,-13.47990E-03,+85.92965019E+00,+6.73366839E+00
-39.10000E-03,-10.46482E-03,+86.43216276E+00,+6.43216085E+00
-39.05000E-03,-10.96733E-03,+86.93467534E+00,+6.63316588E+00
-39.00000E-03,-11.46984E-03,+86.43216276E+00,+6.83417091E+00
-38.95000E-03,-11.46984E-03,+84.42211246E+00,+6.93467342E+00
-38.90000E-03,-13.47990E-03,+85.92965019E+00,+6.73366839E+00
-38.85000E-03,-12.97738E-03,+84.92462504E+00,+6.93467342E+00
-38.80000E-03,-11.46984E-03,+85.92965019E+00,+7.13567845E+00
-38.75000E-03,-10.96733E-03,+84.92462504E+00,+6.83417091E+00
-38.70000E-03,-11.46984E-03,+84.92462504E+00,+7.13567845E+00
-38.65000E-03,-12.97738E-03,+85.92965019E+00,+7.53768850E+00
-38.60000E-03,-11.97236E-03,+86.43216276E+00,+7.13567845E+00
-38.55000E-03,-13.98241E-03,+86.43216276E+00,+7.13567845E+00
-38.50000E-03,-11.46984E-03,+84.42211246E+00,+7.13567845E+00
-38.45000E-03,-11.97236E-03,+86.43216276E+00,+7.23618096E+00
-38.40000E-03,-9.96231E-03,+86.43216276E+00,+7.63819101E+00
-38.35000E-03,-8.45477E-03,+84.92462504E+00,+7.63819101E+00
-38.30000E-03,-12.47487E-03,+86.43216276E+00,+6.83417091E+00
-38.25000E-03,-10.46482E-03,+84.92462504E+00,+7.83919604E+00
-38.20000E-03,-12.47487E-03,+85.92965019E+00,+7.53768850E+00
-38.15000E-03,-12.97738E-03,+86.43216276E+00,+7.93969855E+00
-38.10000E-03,-11.46984E-03,+84.42211246E+00,+7.83919604E+00
-38.05000E-03,-11.46984E-03,+84.92462504E+00,+7.73869353E+00
-38.00000E-03,-11.97236E-03,+85.92965019E+00,+7.73869353E+00
